CONTRATOS,CLIENTE,ORGANIZACAO,NUMERO_CONTRATO,NUMERO_MAIS_CONTRATO,CONTRACT_ID
PREFEITURA MUNICIPAL DE MARANGUAPE - TRAB ASSIST SOCIAL - 07.25.03.03.001,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,07.25.03.03.001,PREFEITURA MUNICIPAL DE MARANGUAPE - TRAB ASSIST SOCIAL - 07.25.03.03.001 - 07.25.03.03.001,68
PREFEITURA MUNICIPAL DE MARANGUAPE - TRAB ASSIST SOCIAL - 07.25.04.02.001,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,07.25.04.02.001,PREFEITURA MUNICIPAL DE MARANGUAPE - TRAB ASSIST SOCIAL - 07.25.04.02.001 - 07.25.04.02.001,69
PREFEITURA MUNICIPAL DE ACOPIARA - SAÚDE,PREFEITURA MUNICIPAL DE ACOPIARA - SAÚDE,ALUCOM,2024.01.05.02,PREFEITURA MUNICIPAL DE ACOPIARA - SAÚDE - 2024.01.05.02,70
PREFEITURA MUNICIPAL DE ACOPIARA - TRANSPORTE E LOGISTICA,PREFEITURA MUNICIPAL DE ACOPIARA - TRANSPORTE E LOGISTICA,ALUCOM,2024.01.05.01,PREFEITURA MUNICIPAL DE ACOPIARA - TRANSPORTE E LOGISTICA - 2024.01.05.01,71
PREFEITURA MUNICIPAL DE ACOPIARA - TRABALHO E DESENVOLVIMENTO SOCIAL,PREFEITURA MUNICIPAL DE ACOPIARA - TRABALHO E DESENVOLVIMENTO SOCIAL,ALUCOM,2024.01.05.03,PREFEITURA MUNICIPAL DE ACOPIARA - TRABALHO E DESENVOLVIMENTO SOCIAL - 2024.01.05.03,72
PREFEITURA MUNICIPAL DE ACOPIARA - TRABALHO E DESENVOLVIMENTO SOCIAL - PROGRAMAS,PREFEITURA MUNICIPAL DE ACOPIARA - TRABALHO E DESENVOLVIMENTO SOCIAL - PROGRAMAS,ALUCOM,2024.01.05.04,PREFEITURA MUNICIPAL DE ACOPIARA - TRABALHO E DESENVOLVIMENTO SOCIAL - PROGRAMAS - 2024.01.05.04,73
SECRETARIA DO TRABALHO DO ESTADO DO CEARÁ - SET,SECRETARIA DO TRABALHO DO ESTADO DO CEARÁ - SET,ALUCOM,016/2025,SECRETARIA DO TRABALHO DO ESTADO DO CEARÁ - SET - 016/2025,74
PREFEITURA MUNICIPAL DE PALMACIA - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,PREFEITURA MUNICIPAL DE PALMACIA - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,ALUCOM,20250813009,PREFEITURA MUNICIPAL DE PALMACIA - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - 20250813009,75
PREFEITURA MUNICIPAL DE PALMACIA - EDUCAÇÃO,PREFEITURA MUNICIPAL DE PALMACIA - EDUCAÇÃO,ALUCOM,20250813004,PREFEITURA MUNICIPAL DE PALMACIA - EDUCAÇÃO - 20250813004,76
PREFEITURA MUNICIPAL DE PALMACIA - FUNDO MUNICIPAL DE PREVIDÊNCIA,PREFEITURA MUNICIPAL DE PALMACIA - FUNDO MUNICIPAL DE PREVIDÊNCIA,ALUCOM,20250813008,PREFEITURA MUNICIPAL DE PALMACIA - FUNDO MUNICIPAL DE PREVIDÊNCIA - 20250813008,77
PREFEITURA MUNICIPAL DE PALMACIA - ADMINISTRAÇÃO,PREFEITURA MUNICIPAL DE PALMACIA - ADMINISTRAÇÃO,ALUCOM,20250813001,PREFEITURA MUNICIPAL DE PALMACIA - ADMINISTRAÇÃO - 20250813001,78
PREFEITURA MUNICIPAL DE PALMACIA - AGRICULTURA E ABASTECIMENTO,PREFEITURA MUNICIPAL DE PALMACIA - AGRICULTURA E ABASTECIMENTO,ALUCOM,20250813007,PREFEITURA MUNICIPAL DE PALMACIA - AGRICULTURA E ABASTECIMENTO - 20250813007,79
PREFEITURA MUNICIPAL DE PALMACIA - CULTURA,PREFEITURA MUNICIPAL DE PALMACIA - CULTURA,ALUCOM,20250813006,PREFEITURA MUNICIPAL DE PALMACIA - CULTURA - 20250813006,80
PREFEITURA MUNICIPAL DE PALMACIA - FINANÇAS,PREFEITURA MUNICIPAL DE PALMACIA - FINANÇAS,ALUCOM,20250813002,PREFEITURA MUNICIPAL DE PALMACIA - FINANÇAS - 20250813002,82
PREFEITURA MUNICIPAL DE ARACATI - DESENVOLVIMENTO AGRÁRIO,PREFEITURA MUNICIPAL DE ARACATI - DESENVOLVIMENTO AGRÁRIO,ALUCOM,20220413010,PREFEITURA MUNICIPAL DE ARACATI - DESENVOLVIMENTO AGRÁRIO - 20220413010,83
PREFEITURA MUNICIPAL DE PALMACIA - OBRAS E MEIO AMBIENTE,PREFEITURA MUNICIPAL DE PALMACIA - OBRAS E MEIO AMBIENTE,ALUCOM,20250813005,PREFEITURA MUNICIPAL DE PALMACIA - OBRAS E MEIO AMBIENTE - 20250813005,84
PREFEITURA MUNICIPAL DE PALMACIA - SAÚDE,PREFEITURA MUNICIPAL DE PALMACIA - SAÚDE,ALUCOM,20250813003,PREFEITURA MUNICIPAL DE PALMACIA - SAÚDE - 20250813003,85
HOSPITAL MUNICIPAL DR. AUGEU BRAGA HERBSTER,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,09.25.03.03.001,HOSPITAL MUNICIPAL DR. AUGEU BRAGA HERBSTER - 09.25.03.03.001,86
"PREFEITURA MUNICIPAL DE MARANGUAPE - AGRICULTURA, PESCA E RECURSOS HÍDRICOS",MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,11.25.03.03.001,"PREFEITURA MUNICIPAL DE MARANGUAPE - AGRICULTURA, PESCA E RECURSOS HÍDRICOS - 11.25.03.03.001",87
PREFEITURA MUNICIPAL DE MARANGUAPE - EDUCAÇÃO,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,04.25.03.03.001,PREFEITURA MUNICIPAL DE MARANGUAPE - EDUCAÇÃO - 04.25.03.03.001,88
CÂMARA MUNICIPAL DE CAUCAIA,CÂMARA MUNICIPAL DE CAUCAIA,ALUCOM,042/2022,CÂMARA MUNICIPAL DE CAUCAIA - 042/2022,89
"PREFEITURA MUNICIPAL DE ARACATI - DESENV ECON, TRAB E RENDA","PREFEITURA MUNICIPAL DE ARACATI - DESENV ECON, TRAB E RENDA",ALUCOM,2022041303,"PREFEITURA MUNICIPAL DE ARACATI - DESENV ECON, TRAB E RENDA - 2022041303",90
PREFEITURA MUNICIPAL DE CAUCAIA - TURISMO E CULTURA,PREFEITURA MUNICIPAL DE CAUCAIA - TURISMO E CULTURA,ALUCOM,2021.08.02.01-11,PREFEITURA MUNICIPAL DE CAUCAIA - TURISMO E CULTURA - 2021.08.02.01-11,91
PREFEITURA MUNICIPAL DE CAUCAIA - ADMINISTRAÇÃO E RECURSOS HUMANOS,PREFEITURA MUNICIPAL DE CAUCAIA - ADMINISTRAÇÃO E RECURSOS HUMANOS,ALUCOM,2021.08.02.01-01,PREFEITURA MUNICIPAL DE CAUCAIA - ADMINISTRAÇÃO E RECURSOS HUMANOS - 2021.08.02.01-01,92
PREFEITURA MUNICIPAL DE ARACATI - EDUCAÇÃO,PREFEITURA MUNICIPAL DE ARACATI - EDUCAÇÃO,ALUCOM,20220413019,PREFEITURA MUNICIPAL DE ARACATI - EDUCAÇÃO - 20220413019,93
PREFEITURA MUNICIPAL DE CAUCAIA - AUTARQUIA MUNICIPAL DE TRÂNSITO,PREFEITURA MUNICIPAL DE CAUCAIA - AUTARQUIA MUNICIPAL DE TRÂNSITO,ALUCOM,2021.08.02.01-19,PREFEITURA MUNICIPAL DE CAUCAIA - AUTARQUIA MUNICIPAL DE TRÂNSITO - 2021.08.02.01-19,94
PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE ASSISTÊNCIA SOCIAL,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE ASSISTÊNCIA SOCIAL,ALUCOM,20230929012,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE ASSISTÊNCIA SOCIAL - 20230929012,95
PREFEITURA MUNICIPAL DE ARACATI - ESPORTE E LAZER,PREFEITURA MUNICIPAL DE ARACATI - ESPORTE E LAZER,ALUCOM,20220413005,PREFEITURA MUNICIPAL DE ARACATI - ESPORTE E LAZER - 20220413005,96
PREFEITURA MUNICIPAL DE ARACATI - FINANÇAS,PREFEITURA MUNICIPAL DE ARACATI - FINANÇAS,ALUCOM,20220413004,PREFEITURA MUNICIPAL DE ARACATI - FINANÇAS - 20220413004,97
PREFEITURA MUNICIPAL DE ARACATI - SEGURIDADE SOCIAL,PREFEITURA MUNICIPAL DE ARACATI - SEGURIDADE SOCIAL,ALUCOM,20220413009,PREFEITURA MUNICIPAL DE ARACATI - SEGURIDADE SOCIAL - 20220413009,98
PREFEITURA MUNICIPAL DE ARACATI - GABINETE DO PREFEITO,PREFEITURA MUNICIPAL DE ARACATI - GABINETE DO PREFEITO,ALUCOM,20220413007,PREFEITURA MUNICIPAL DE ARACATI - GABINETE DO PREFEITO - 20220413007,99
SECRETARIA MUNICIPAL DE INFORMAÇÃO E TECNOLOGIA - SEMIT,SEMIT,ALUCOM,01/2024 GAB/SEMIT,SECRETARIA MUNICIPAL DE INFORMAÇÃO E TECNOLOGIA - SEMIT - 01/2024 GAB/SEMIT,100
PREFEITURA MUNICIPAL DE CAMOCIM - CONSERVAÇÃO E SERVIÇOS PUBLICOS,PREFEITURA MUNICIPAL DE CAMOCIM - CONSERVAÇÃO E SERVIÇOS PUBLICOS,ALUCOM,2022.04.05.002-03,PREFEITURA MUNICIPAL DE CAMOCIM - CONSERVAÇÃO E SERVIÇOS PUBLICOS - 2022.04.05.002-03,101
PREFEITURA MUNICIPAL DE CAMOCIM - CULTURA,PREFEITURA MUNICIPAL DE CAMOCIM - CULTURA,ALUCOM,2022.04.05.002-07,PREFEITURA MUNICIPAL DE CAMOCIM - CULTURA - 2022.04.05.002-07,102
PREFEITURA MUNICIPAL DE CAMOCIM -  DESENVOLVIMENTO SOCIAL E CIDADANIA,PREFEITURA MUNICIPAL DE CAMOCIM -  DESENVOLVIMENTO SOCIAL E CIDADANIA,ALUCOM,2022.04.05.002-05,PREFEITURA MUNICIPAL DE CAMOCIM -  DESENVOLVIMENTO SOCIAL E CIDADANIA - 2022.04.05.002-05,103
PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,ALUCOM,2022.04.05.002-06,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO - 2022.04.05.002-06,104
PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,ALUCOM,2022.04.05.002-10,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE - 2022.04.05.002-10,105
PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,ALUCOM,2022.04.05.002-08,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA - 2022.04.05.002-08,106
PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,ALUCOM,2022.04.05.002-01,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA - 2022.04.05.002-01,107
PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,ALUCOM,2022.04.05.002-12,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA - 2022.04.05.002-12,108
